"station_id","song","genre"
"radiozurnal","STING - FIELDS OF GOLD","pop"
"radiozurnal","JAROMÍR NOHAVICA - MÁM JIZVU NA RTU","rock"
"radiozurnal","BACKSTREET BOYS - CHANCES","pop"
"radiozurnal","PHIL COLLINS - EVERYDAY","pop"
"radiozurnal","OF MONSTERS AND MEN - LITTLE TALKS","pop"
"radiozurnal","EMILIA - BIG BIG WORLD","pop"
"radiozurnal","LUCAS & STEVE - UP TILL DAWN (ON THE MOVE)","electronic"
"radiozurnal","PINK FLOYD - TAKE IT BACK","rock"
"radiozurnal","RICHARD MARX - RIGHT HERE WAITING","pop"
"radiozurnal","JOE COCKER - SUMMER IN THE CITY","rock"
"radiozurnal","MICHAL HRŮZA,  ANNA K. - TEN, KDO TĚ MILOVAL","other"
"radiozurnal","ONE REPUBLIC - GOOD LIFE","pop"
"radiozurnal","PAUL SIMON/ART GARFUNKEL - CECILIA","other"
"radiozurnal","P!NK - TRUE LOVE","pop"
"radiozurnal","SAVAGE GARDEN - TRULY MADLY DEEPLY","pop"
"radiozurnal","LEONARD COHEN - SUZANNE","rock"
"radiozurnal","CLIFF RICHARD - SOME PEOPLE","pop"
"radiozurnal","MIROSLAV ŽBIRKA,  KATKA KNECHTOVÁ - SKÚŠKA SNOV","other"
"radiozurnal","TIMMY T. - ONE MORE TRY","electronic"
"radiozurnal","RED HOT CHILI PEPPERS - THE ADVENTURES OF RAIN DANCE MAGGIE","rock"
"radiozurnal","ROXETTE - VULNERABLE","pop"
"radiozurnal","LENNY - HOME","pop"
"radiozurnal","LIMAHL - NEVERENDING STORY","pop"
"radiozurnal","DAVID KOLLER - CHCI ZAS V TOBĚ SPÁT","pop"
"radiozurnal","AVA MAX - SWEET BUT PSYCHO","pop"
"radiozurnal","JERMAINE JACKSON, PIA ZADORA - WHEN THE RAIN BEGINS TO FALL","pop"
"radiozurnal","LANA DEL REY - SUMMERTIME SADNESS","pop"
"radiozurnal","MARMELADE - OB-LA-DI,OB-LA-DA","pop"
"radiozurnal","CLEAN BANDIT,  ZARA LARSSON - SYMPHONY","other"
"radiozurnal","ENYA - ONLY IF...","other"
"radiozurnal","XINDL X - DOČASNÁ SVATÁ","other"
"radiozurnal","HEART - ALL I WANNA DO IS MAKE LOVE TO YOU","rock"
"radiozurnal","GEORGE EZRA - SHOTGUN","other"
"radiozurnal","LARRY MULLEN, ADAM CLAYTON - THEME FROM MISSION: IMPOSSIBLE","other"
"radiozurnal","BIRDY - KEEPING YOUR HEAD UP","other"
"radiozurnal","EUROPE - CARRIE","rock"
