"station_id","song","genre_category","spotify_track_id"
"RZ","ROXETTE - JUNE AFTERNOON","pop","3tSdiH7uUhSQG7QQtj9uTr"
"RZ","DAN BÁRTA - PÍSEŇ HRABOŠE","other","56rW8qZ50B5lE2DEmyrVoY"
"RZ","OMD - PANDORA'S BOX","pop","4NsNi4w10Tkpv6uikyXbJ6"
"RZ","LP - GIRLS GO WILD","pop","5AOqxn4l8BHO0or40XxCuh"
"RZ","PHIL COLLINS - IN THE AIR TONIGHT","rock","18AXbzPzBS8Y3AkgSxzJPb"
"RZ","DIVOKEJ BILL - VSTÁVEJ","pop","22akjnhMDw5qNo2At9BjB6"
"RZ","ROBBIE WILLIAMS - LOVE MY LIFE","pop","1YW369EbVyjpeLE3YbsjKQ"
"RZ","CHRISTINA PERRI - A THOUSAND YEARS","pop","6lanRgr6wXibZr8KgzXxBl"
"RZ","XINDL X - RŮŽOVÝ BREJLE","pop","0LSZimCBRcKmKKDaQPrQDQ"
"RZ","RAG'N'BONE MAN - SKIN","other","6y2Kaz9QI01XBKJ8mTb7Pf"
"RZ","CRANBERRIES - ANALYSE","pop","38RI4pQFGNyWFVnhogStzH"
"RZ","NIALL HORAN - PUT A LITTLE LOVE ON ME","pop","1hCTxutVVYvggAQcUUUZAT"
"RZ","TIGHT FIT - THE LION SLEEPS TONIGHT","other","1so85Or3C7J0sBnBOucVBA"
"RZ","MICHAL HRŮZA - ZAKÁZANÉ UVOLNĚNÍ","pop","7wpbqcl0cxxGN8WNYz64Wr"
"RZ","ALEXANDRA BURKE - HALLELUJAH","other","2TzWG49t67TAsFYRqwS9Dc"
"RZ","UNDERCOVER - BAKER STREET","rock","2DTQUOfYJAjdo7utgjnU4u"
"RZ","DERMOT KENNEDY - POWER OVER ME","pop","4tViDtaHuSLnh7HVJTrKhs"
"RZ","MARKÉTA IRGLOVÁ, GLEN HANSARD - FALLING SLOWLY","other","6EIVLz5xM1xE29r0OmIkWt"
"RZ","BEATLES - ELEANOR RIGBY","rock","5GjPQ0eI7AgmOnADn1EO6Q"
"RZ","GEORGE EZRA - BUDAPEST","pop","2ixsaeFioXJmMgkkbd4uj1"
"RZ","MEAT LOAF - I'D DO ANYTHING FOR LOVE","rock","391CwgcBxvUHmEKda2b5In"
"RZ","ALEC BENJAMIN - LET ME DOWN SLOWLY","pop","2qxmye6gAegTMjLKEBoR3d"
"RZ","QUEEN, DAVID BOWIE - UNDER PRESSURE","other","11IzgLRXV7Cgek3tEgGgjw"
"RZ","P!NK - BEAUTIFUL TRAUMA","pop","2DlIwu1iDTILEMXA7MUotn"
"RZ","SHEPPARD - GERONIMO","pop","19cL3SOKpwnwoKkII7U3Wh"
"RZ","DERIK FEIN - DON'T MATTER","other","3FBqG4BfWt5cukNBwE6CpF"
"RZ","SHAKESPEAR'S SISTER - HELLO (TURN YOUR RADIO ON)","pop","28CbxqvoML43nJMU68VPx1"
"RZ","KRYŠTOF,  TOMÁŠ KLUS - CESTA","other","0KV8LwWowSPt8vAyn0GnNj"
"RZ","STEREOPHONICS - HAVE A NICE DAY","pop","6JWddKPdqvDc2WkPEi9grC"
"RZ","DAFT PUNK,  PHARRELL WILLIAMS - GET LUCKY","other","2Foc5Q5nqNiosCNqttzHof"
"RZ","HOZIER - TAKE ME TO CHURCH","pop","1CS7Sd1u5tWkstBhpssyjP"
"RZ","KATARÍNA KNECHTOVÁ,  ADAM ĎURICA - TAKÍ SME","other","71O0G2h66lSaMlxhtDPrvb"
"RZ","BERLIN - TAKE MY BREATH AWAY","pop","50jEs9EZZgXJ1oDZVAv7Wp"
"RZ","JOHN NEWMAN - LOVE ME AGAIN","pop","5VSCgNlSmTV2Yq5lB40Eaw"
"RZ","MIRAI - KDYŽ NEMŮŽEŠ, TAK PŘIDEJ","pop","7DdwITgxQe8MST37qt4t2q"
"RZ","GUNS'N'ROSES - NOVEMBER RAIN","rock","3YRCqOhFifThpSRFJ1VWFM"
"RZ","LENNY - FIGURE IT OUT","rock","0nzGKPo7p9XeP7H8U7nbDG"
"RZ","MAREK ZTRACENÝ - O PRAVDĚ","pop","0hd8KiKxIvnVY3hFc1rSEy"
"RZ","LEONARD COHEN - SUZANNE","rock","2L93TdW2GMue1H2zlkt30F"
"RZ","OZZY OSBOURNE - MAMA, I'M COMING HOME","rock","0S3gpZzlT9Hb7CCSV2owX7"
"RZ","BRUNO MARS - COUNT ON ME","pop","7l1qvxWjxcKpB9PCtBuTbU"
"RZ","TINA TURNER - GOLDEN EYE","pop","2qF8cLzNvsOkayHqwPaJcV"
"RZ","NEDIVOČ - FOTKY Z VÝLETU","other","7HXP0osgsRJsRB8EKKEZQd"
"RZ","CARS - DRIVE","pop","3wfujdbamR3Z46F4xav7LM"
"RZ","MILOW,  MATT SIMONS - LAY YOUR WORRY DOWN","other","4xfoYtEMk768BMvs9Qi8xR"
"RZ","JANA KIRSCHNER - POKOJ V DUŠI","pop","3TZHRGniASyxpgcLhOEOjY"
"RZ","KYGO,  AVICII,  SANDRO CAVAZZA - FOREVER YOURS (AVICII TRIBUTE)","other","3o1CUVeHIid49sabk6A6Nf"
"RZ","LENE MARLIN - SITTING DOWN HERE","pop","2NwXOuYLEbyhlQzDtoANul"
"RZ","ENRIQUE IGLESIAS,  NICOLE SCHERZINGER - HEARTBEAT","other","0yICN9QFclohtq33HSmFwZ"
"RZ","NO GUITARS - ČERNÁ RŮŽE","other",NA
"RZ","ANASTACIA - ONE DAY IN YOUR LIVE","other",NA
"RZ","AEROSMITH - CRYIN'","rock","0NJC0FDCODpPUntRTTQq97"
"RZ","JELEN - JEDINÝ CO CHCI","pop","6r9PzonQS9tNBmBGELGHCU"
"RZ","ED SHEERAN - THINKING OUT LOUD","pop","34gCuhDGsG4bRPIf9bb02f"
"RZ","BUGGLES - VIDEO KILLED THE RADIO STAR","pop","6t1FIJlZWTQfIZhsGjaulM"
"RZ","RAY DALTON - IN MY BONES","other","6yHVyMdC08djbP86mdkP3G"
"RZ","MADONNA - YOU'LL SEE","pop","0Fb8sdyNluLawg08N1zs48"
"RZ","NO NAME - ĎAKUJEM, ŽE SI","pop","2Yda2McElBRLEpwIgWtzeR"
"RZ","ZUZANA SMATANOVÁ - SVET MI STÚPIL NA NOHU","other",NA
"RZ","PETER NAGY - SI MOJA HVIEZDA","other",NA
"RZ","MIROSLAV ŽBIRKA - BEZCHYBNÁ","other",NA
"RZ","LADY GAGA - ALWAYS REMEMBER US THIS WAY","pop","2rbDhOo9Fh61Bbu23T2qCk"
"RZ","LUMINEERS - HO HEY","pop","0W4Kpfp1w2xkY3PrV714B7"
"RZ","MICHAEL SCHULTE - BACK TO THE START","pop","3rAyyKRZMj6b77vebFgxKd"
"RZ","JAN ""SAHARA"" HEDL, BÁRA BASIKOVÁ - TISÍC JMEN","other",NA
"RZ","COLDPLAY - UP AND UP","pop","31L9yLXSj6LpCFupyMV6CR"
"RZ","EAGLE-EYE CHERRY - SAVE TONIGHT","pop","1t2Hq2WIBcZINOEnK6mdJG"
"RZ","SIMPLE MINDS - DON'T  YOU (FORGET ABOUT ME)","pop","3fH4KjXFYMmljxrcGrbPj9"
"RZ","IMAGINE DRAGONS - BIRDS","pop","6Tvzf3VEi16JMhAgOwdt2y"
"RZ","ONE REPUBLIC - STOP AND STARE","pop","48s0QHJgmiNsth3WEO6U4M"
"RZ","R.E.M. - DAYSLEEPER","pop","7chTzkbpS16xJqyhJWQlmt"
"RZ","NICO SANTOS - UNFORGETTABLE","pop","30f7TNgvsS1AWtyuVqMucH"
"RZ","FALCO - VIENNA CALLING","pop","6tetorrFfVEwugqcgfwEm1"
"RZ","ROBBIE WILLIAMS - TRIPPING","pop","7MTdv6v3vsmQcVfh7eIaks"
"RZ","INXS - BY MY SIDE","pop","3feDdjOYqdMd8BCJOZ36P1"
"RZ","JASON MRAZ - HAVE IT ALL","pop","7BXW1QCg56yzEBV8pW8pah"
"RZ","MIKE OLDFIELD, MAGGIE REILLY - MOONLIGHT SHADOW","other","4ttjgsTS3bk8BwKZM2cWau"
"RZ","MICHAL HRŮZA,  KLÁRA VYTISKOVÁ - VENUŠE","other","6kvmxpbDL8O39QJh8QqiTR"
"RZ","P!NK - I DON'T BELIEVE YOU","pop","0WwDvsFaf3QHM78aIiLqPv"
"RZ","EDWYN COLLINS - A GIRL LIKE YOU","pop","6XOINCZBv8Q7RXgNNiTwIN"
"RZ","HARRY STYLES - WATERMELON SUGAR","pop","6UelLqGlWMcVH1E5c4H7lY"
"RZ","EURYTHMICS - THORN IN MY SIDE","other","3v9ELl9T121dhadZyIiQVn"
"RZ","XINDL X - POPELKA","pop","6kYUfUMJqTjkrGwwDjh8B3"
"RZ","POLICE - EVERY BREATH YOU TAKE","rock","1JSTJqkT5qHq8MDJnJbRE1"
"RZ","PLAIN WHITE T'S - HEY THERE DELILAH","pop","4RCWB3V8V0dignt99LZ8vH"
"RZ","CORRS - IRRESISTIBLE","pop","2yWUHhe2qlUXAxwpr8dDWK"
"RZ","LUCIE - NEJLEPŠÍ, KTEROU ZNÁM","pop","4GkQUS7VNRpLoAD4jCUGeY"
"RZ","MICHAEL JACKSON - BEAT IT","pop","1OOtq8tRnDM8kG2gqUPjAj"
"RZ","RED HOT CHILLI PEPPERS - ZEPHYR SONG","rock","1ndGB6rvxKYN9seCYO1dTF"
"RZ","ADELE - WHEN WE WERE YOUNG","pop","7IWkJwX9C0J7tHurTD7ViL"
"RZ","BON JOVI - RUNAWAY","rock","0X1sqQ652p1sceKM2nJlIJ"
"RZ","VLADIMÍR MIŠÍK - JEDNOU","rock","59LpCBnYnt4nopjZNMhhPD"
"RZ","JASON DONOVAN - SEALED WITH A KISS","pop","2PYP9kcLqqNfRUXHCheYmn"
"RZ","ELLIE GOULDING - YOUR SONG","pop","2mN9PvVZX0thvOclMwQAju"
"RZ","BRYAN ADAMS,  MELANIE C - WHEN YOU'RE GONE","other","7p9dd71JR2ucoAuO1Sy0VZ"
"RZ","MIGHTY OAKS - BROTHER","pop","67mjxSBrj9tMfz5aJdatcU"
"RZ","LAUREN DAIGLE - YOU SAY","other","6Up545NUflOiXo8cEraH49"
"RZ","QUEEN - DON'T STOP ME NOW","rock","7hQJA50XrCWABAu5v6QZ4i"
"RZ","DIVOKEJ BILL - SÍŤ","pop","30xn7QxNYrIEC4dkfyEjYl"
"RZ","DAVID STYPKA - JERICHO","other","1UFnkxfcwxEK6czFYMU1kb"
"RZ","ALANIS MORISSETTE - IRONIC","pop","1d6KS9GH06JAd19uiBy9IE"
"RZ","GARETH GATES - ANYONE OF US","other","3PCQP842cvFH91bHTTbYN0"
"RZ","BEATLES - YESTERDAY","rock","3BQHpFgAp4l80e1XslIjNI"
"RZ","DIDO - LIFE FOR RENT","pop","4jCs5Z8Y06WsiDeoe5giJn"
"RZ","TRAVIS - SING","other","5r9sUS8ArOSD9BP8hqXV2S"
"RZ","MICHAEL BOLTON - WHEN A MAN LOVES A WOMAN","rock","3ascnOSOR5MX901ylGuhcl"
"RZ","CYNDI LAUPER - ALL THROUGH THE NIGHT","pop","2CIDqYfIYfl9vx02wIyCG9"
"RZ","RIHANNA - UMBRELLA","other","49FYlytm3dAAraYgpoJZux"
"RZ","TEREZA BALONOVÁ - NEPOSLOUCHÁŠ","pop","4Ej3LGgiv4X4iIev4GXOb1"
"RZ","BOB GELDOF - CRAZY","other","3548q70EPuR2SFTcXX2SY9"
"RZ","BEYONCÉ - HALO","pop","4JehYebiI9JE8sR8MisGVb"
"RZ","PHIL COLLINS,  PHILIP BAILEY - EASY LOVER","other","5LYJ631w9ps5h9tdvac7yP"
"RZ","PETR HAPKA - KOCOUR SE SCHOULIL NA TVŮJ KLÍN","pop","7qNC0LeEM17TfAlhnVpyOj"
"RZ","JAMES BLUNT - 1973","pop","1BV0m40U0M4t1SLIsDnwZl"
"RZ","NEA - SOME SAY","other","7C1trmcQQ5n5RNy4l6ziCv"
"RZ","U 2 - WITH OR WITHOUT YOU","rock","6ADSaE87h8Y3lccZlBJdXH"
"RZ","ANNA K. - CO MI ZA TO DÁŠ?","pop","1whhO3Gm4sqfF9U6PM4QuV"
"RZ","ANNA K - CO MI ZA TO DÁŠ?","pop","1whhO3Gm4sqfF9U6PM4QuV"
"RZ","SARAH BRIGHTMAN, ANDREA BOCELLI - TIME TO SAY GOODBYE","other","3p02ss31ywBaZcqh7Vq9sx"
"RZ","K-MARO - FEMME LIKE YOU","other","2SuO2qruGdPZPEmqbueu5d"
"RZ","SINEAD O'CONNOR - NOTHING COMPARES 2 U","pop","3nvuPQTw2zuFAVuLsC9IYQ"
"RZ","JAMES TW - SAY LOVE","pop","49PVaqTTK6qn8Ku5BIR8Gt"
"RZ","SHERYL CROW - RUN BABY RUN","pop","2PqlJ2qWOA7l2G7wwwo9OJ"
"RZ","ABBA - MONEY,MONEY,MONEY","pop","29FNeqjOV2kPWGS55qhtGB"
"RZ","BLUE, ELTON JOHN - SORRY SEEMS TO BE THE HARDEST WORD","rock","4eP6oyNbAJcViaiHtPsOCh"
"RZ","COLDPLAY - VIVA LA VIDA","pop","1mea3bSkSGXuIRvnydlB5b"
"RZ","PETR FIALA - MĚSÍC","other",NA
"RZ","NIALL HORAN - BLACK AND WHITE","pop","7rpNuuoMbid56XkDsx2FjE"
"RZ","DOUBLE - CAPTAIN OF HER HEART","pop","5EwltLwI9hRLyiTUAjMsQ6"
"RZ","FLORENCE,  THE MACHINE - SHIP TO WRECK","pop","20NEld0MhrR4Zpgrf9brq8"
"RZ","JUANES - A DIOS LE PIDO","pop","129lYDVKnWtlJc2PZJviuA"
"RZ","MARTIN GARRIX,  BONN - NO SLEEP","other","1ahVFh0ViDZr8LvkEVlq3B"
"RZ","ALL SAINTS - NEVER EVER","pop","6ZqShH7EyyJ5ofSs8CZ9pT"
"RZ","CAMOUFLAGE - THE GREAT COMMANDMENT","pop","3TlHXurwKSffEj6vsEEyLb"
