"station_id","song","genre","dead"
"radiozurnal","HOLLIES - BUS STOP","rock",2
"radiozurnal","LIGHT & LOVE - BLUEBERRY SKY","other",2
"radiozurnal","LAID BACK - BAKERMAN","pop",2
"radiozurnal","JIMMY CLIFF - I CAN SEE CLEARLY NOW","other",1
"radiozurnal","VERVE - BITTER SWEET SYMPHONY","pop",2
"radiozurnal","MIRAI - ANDĚL","pop",2
"radiozurnal","CHER - IF I COULD TURN BACK TIME","pop",2
"radiozurnal","KEANE - THIS IS THE LAST TIME","pop",2
"radiozurnal","STING - FIELDS OF GOLD","pop",1
"radiozurnal","JAROMÍR NOHAVICA - MÁM JIZVU NA RTU","rock",1
"radiozurnal","BACKSTREET BOYS - CHANCES","pop",2
"radiozurnal","PHIL COLLINS - EVERYDAY","pop",1
"radiozurnal","OF MONSTERS AND MEN - LITTLE TALKS","pop",2
"radiozurnal","EMILIA - BIG BIG WORLD","pop",2
"radiozurnal","LUCAS & STEVE - UP TILL DAWN (ON THE MOVE)","electronic",2
"radiozurnal","PINK FLOYD - TAKE IT BACK","rock",2
"radiozurnal","RICHARD MARX - RIGHT HERE WAITING","pop",1
"radiozurnal","JOE COCKER - SUMMER IN THE CITY","rock",0
"radiozurnal","MICHAL HRŮZA,  ANNA K. - TEN, KDO TĚ MILOVAL","other",2
"radiozurnal","ONE REPUBLIC - GOOD LIFE","pop",2
"radiozurnal","PAUL SIMON/ART GARFUNKEL - CECILIA","other",2
"radiozurnal","P!NK - TRUE LOVE","pop",1
"radiozurnal","SAVAGE GARDEN - TRULY MADLY DEEPLY","pop",2
"radiozurnal","LEONARD COHEN - SUZANNE","rock",0
"radiozurnal","CLIFF RICHARD - SOME PEOPLE","pop",1
"radiozurnal","MIROSLAV ŽBIRKA,  KATKA KNECHTOVÁ - SKÚŠKA SNOV","other",2
"radiozurnal","TIMMY T. - ONE MORE TRY","electronic",2
"radiozurnal","RED HOT CHILI PEPPERS - THE ADVENTURES OF RAIN DANCE MAGGIE","rock",2
"radiozurnal","ROXETTE - VULNERABLE","pop",2
"radiozurnal","LENNY - HOME","pop",2
"radiozurnal","LIMAHL - NEVERENDING STORY","pop",1
"radiozurnal","DAVID KOLLER - CHCI ZAS V TOBĚ SPÁT","pop",1
"radiozurnal","AVA MAX - SWEET BUT PSYCHO","pop",1
"radiozurnal","JERMAINE JACKSON, PIA ZADORA - WHEN THE RAIN BEGINS TO FALL","pop",2
"radiozurnal","LANA DEL REY - SUMMERTIME SADNESS","pop",1
"radiozurnal","MARMELADE - OB-LA-DI,OB-LA-DA","pop",2
"radiozurnal","CLEAN BANDIT,  ZARA LARSSON - SYMPHONY","other",2
"radiozurnal","ENYA - ONLY IF...","other",1
"radiozurnal","XINDL X - DOČASNÁ SVATÁ","other",1
"radiozurnal","HEART - ALL I WANNA DO IS MAKE LOVE TO YOU","rock",2
"radiozurnal","GEORGE EZRA - SHOTGUN","other",1
"radiozurnal","LARRY MULLEN, ADAM CLAYTON - THEME FROM MISSION: IMPOSSIBLE","other",2
"radiozurnal","BIRDY - KEEPING YOUR HEAD UP","other",1
"radiozurnal","EUROPE - CARRIE","rock",2
"radiozurnal","TOM WALKER - MY WAY","electronic",1
"radiozurnal","BEAUTIFUL SOUTH - ROTTERDAM OR ANYWHERE","pop",2
"radiozurnal","HALSEY - COLORS","pop",1
"radiozurnal","CHRIS REA - JOSEPHINE","rock",1
"radiozurnal","IVAN KRÁL - MÁM TVŮJ STÍN","other",1
"radiozurnal","CREEDENCE CLEARWATER REVIVAL - DOWN ON THE CORNER","rock",2
"radiozurnal","SHAWN HOOK,  VANESSA HUDGENS - REMINDING ME","other",2
"radiozurnal","TEARS FOR FEARS - SHOUT","pop",2
"radiozurnal","LAKE MALAWI - PARIS","pop",2
"radiozurnal","AQUA - TURN BACK TIME","pop",2
"radiozurnal","SUPPORT LESBIENS - MÁJ","pop",2
"radiozurnal","BONNIE TYLER - BITTERBLUE","pop",1
"radiozurnal","CHRIS ISAAK - WICKED GAME","pop",1
"radiozurnal","BASTILLE - POMPEII","electronic",2
"radiozurnal","FALCO - OUT OF THE DARK","pop",2
"radiozurnal","P!NK - WHAT ABOUT US","pop",1
"radiozurnal","OCEÁN - PRÁZDNÁ ULICE","pop",2
"radiozurnal","LAURA BRANIGAN - SELF CONTROL","pop",0
"radiozurnal","CELINE DION - FALLING INTO YOU","pop",1
"radiozurnal","AVICII,  SANDRO CAVAZZA - WITHOUT YOU","other",2
"radiozurnal","TOMÁŠ KLUS - POCITY","other",1
"radiozurnal","EAST 17 - STAY ANOTHER DAY","pop",2
"radiozurnal","IMAGINE DRAGONS - DEMONS","pop",2
"radiozurnal","BOYZONE - LOVE ME FOR A REASON","pop",2
"radiozurnal","MŇÁGA A ŽĎORP - PÍSNIČKA PRO TEBE!","pop",2
"radiozurnal","SELENA GOMEZ - BACK TO YOU","pop",1
"radiozurnal","DANDY WARHOLS - BOHEMIAN LIKE YOU","pop",2
"radiozurnal","CAPITAL CITIES - ONE MINUTE MORE","pop",2
"radiozurnal","STEVIE WONDER - PART-TIME LOVER","pop",1
"radiozurnal","MOODY BLUES - NIGHTS IN WHITE SATIN","rock",2
"radiozurnal","DIDO - HUNTER","pop",1
"radiozurnal","RAF - CONTROSENSO","pop",2
"radiozurnal","ESPEN LIND - WHEN SUSANNAH CRIES","pop",1
"radiozurnal","NIALL HORAN - ON THE LOOSE","pop",1
"radiozurnal","ONE MORE TIME - HIGHLAND","pop",2
"radiozurnal","VLADIMÍR MIŠÍK - VARIACE NA RENESANČNÍ TÉMA","rock",1
